Pestaña_Sheet,Nombre_Columna,Tipo_Dato,Descripcion
Bolsas,Horas,Decimal,"Horas del movimiento (siempre positivo; el signo lo da Movimiento)"
Bolsas,Q_Origen,Texto,"Trimestre del movimiento (documental). La bolsa es CROSS-TRIMESTRE: el saldo no se reinicia por Q"
Bolsas,Nota,Texto,"Descripción del movimiento"
Bolsas,Saldo_Proyecto,Decimal,"CALCULADO por proyecto: suma(Aportes) − suma(Consumos) del mismo Tipo_Bolsa y Proyecto_Bolsa"
Bolsas,Saldo_Total_Bolsa,Decimal,"CALCULADO: suma de todos los saldos de proyecto del mismo Tipo_Bolsa"
Economia_Personas,ID_Persona,Texto,"Identificador único de la persona"
Economia_Personas,Nombre,Texto,"Nombre de la persona"
Economia_Personas,Q,Texto,"Trimestre del registro económico"
Economia_Personas,Perfil,Lista,"Perfil: Funcional / Técnico (se muestran agrupados y con subtotal por perfil)"
Economia_Personas,Coste_Hora,Decimal,"Coste por persona por hora (€/h)"
Economia_Personas,Horas_Mes,Decimal,"Horas totales del mes para esa persona"
Economia_Personas,Pct_Dedicacion,Decimal,"% de dedicación al equipo (puede cobrar de otros equipos), ej. 0.80"
Economia_Personas,Horas_Vacaciones_Formacion,Decimal,"Horas dedicadas a vacaciones / formación (se descuentan)"
Economia_Personas,Horas_Imputadas,Decimal,"CALCULADO: (Horas_Mes * Pct_Dedicacion) - Horas_Vacaciones_Formacion"
Economia_Personas,Coste_Mensual,Decimal,"CALCULADO: Horas_Imputadas * Coste_Hora"
Economia_Personas,Coste_Trimestral,Decimal,"CALCULADO: Coste_Mensual * 3 (meses del trimestre)"
Otros_Gastos,ID_Gasto,Texto,"Identificador del gasto"
Otros_Gastos,Q,Texto,"Trimestre del gasto"
Otros_Gastos,ID_Iniciativa,Texto,"Proyecto asociado al gasto (opcional, vacío = gasto de equipo)"
Otros_Gastos,Concepto,Lista,"Concepto: Guardias / Horas extra / Servicios / Otros"
Otros_Gastos,Descripcion,Texto,"Detalle del gasto"
Otros_Gastos,Importe,Decimal,"Importe del gasto en € imputado al proyecto/equipo"
Economia_Resumen,Q,Texto,"Trimestre del resumen económico"
Economia_Resumen,Coste_Equipo_Funcional,Decimal,"CALCULADO: subtotal del coste trimestral del perfil Funcional"
Economia_Resumen,Coste_Equipo_Tecnico,Decimal,"CALCULADO: subtotal del coste trimestral del perfil Técnico"
Economia_Resumen,Coste_Equipo_Total,Decimal,"CALCULADO: Coste_Equipo_Funcional + Coste_Equipo_Tecnico"
Economia_Resumen,Otros_Gastos_Total,Decimal,"CALCULADO: Sumatorio de Otros_Gastos del Q"
Economia_Resumen,Coste_Total_Final,Decimal,"CALCULADO: Coste_Equipo_Total + Otros_Gastos_Total"
Economia_Resumen,Horas_Totales_Ejecutadas,Decimal,"CALCULADO: suma de Ejecucion.Horas_Ejecutadas de todas las iniciativas en el Q activo"
Economia_Resumen,Ganancias_Totales,Decimal,"CALCULADO: Horas_Totales_Ejecutadas * Tarifa_Empresa"
Economia_Resumen,Rentabilidad_Real,Decimal,"CALCULADO: (Ganancias_Totales - Coste_Total_Final) / Ganancias_Totales"
Economia_Resumen,Ingresos_Objetivo_Funcional,Decimal,"CALCULADO: Coste_Equipo_Funcional / (1 - Margen_Funcional)"
Economia_Resumen,Ingresos_Objetivo_Tecnico,Decimal,"CALCULADO: Coste_Equipo_Tecnico / (1 - Margen_Tecnico)"
Economia_Resumen,Ingresos_Objetivo,Decimal,"CALCULADO: Ingresos_Objetivo_Funcional + Ingresos_Objetivo_Tecnico"
Economia_Resumen,Rentabilidad_Objetivo,Decimal,"CALCULADO: (Ingresos_Objetivo - Coste_Equipo_Total) / Ingresos_Objetivo"
Economia_Resumen,Horas_Objetivo_Ejecutar,Decimal,"CALCULADO: Ingresos_Objetivo / Tarifa_Empresa"
Coordinacion_Equipo,ID_Persona,Texto,"Identificador de la persona en el equipo"
Coordinacion_Equipo,Nombre,Texto,"Nombre de la persona"
Coordinacion_Equipo,Perfil,Lista,"Funcional / Técnico (la estructura del equipo se muestra separada por perfil)"
Coordinacion_Equipo,Rol,Lista,"Rol: Responsable / Responsabilizado / Técnico Cross"
Asignacion,ID_Asignacion,Texto,"Identificador de la asignación"
Asignacion,ID_Iniciativa,Texto,"Proyecto al que se asigna (en un proyecto: 1 Responsable + N Ejecutores)"
Asignacion,ID_Persona,Texto,"Persona asignada"
Asignacion,Rol_Asignacion,Lista,"Rol en el proyecto: Responsable / Ejecutor"
Asignacion,Pct_Trabajo,Decimal,"% en el que la persona trabaja en ese proyecto específico"
Capacidad,ID_Persona,Texto,"Identificador de la persona"
Capacidad,Q,Texto,"Trimestre"
Capacidad,Horas_Capacidad_Q,Decimal,"CALCULADO: Horas_Imputadas * 3 (capacidad imputable del Q)"
Capacidad,Pct_Ocupacion,Decimal,"CALCULADO: suma de Pct_Trabajo en las iniciativas marcadas como Considerada_Capacidad (>100% sobrecarga, <70% ociosidad)"
Capacidad,Horas_Asignadas,Decimal,"CALCULADO: Pct_Ocupacion * Horas_Capacidad_Q"
Cobertura,ID_Iniciativa,Texto,"Identificador de la iniciativa"
Cobertura,Horas_Estimadas,Decimal,"Horas estimadas del proyecto"
Cobertura,Horas_Elevadas,Decimal,"Horas elevadas del proyecto"
Cobertura,Pct_Cobertura,Decimal,"CALCULADO: Horas_Elevadas / Horas_Estimadas (cobertura de estimadas vs elevadas)"
